"future","playerID","firstName","lastName","name","team","logo","mgm_odds","mgm_winPct"
"Hart Trophy","4075","Nathan","MacKinnon","Nathan MacKinnon","COL","https://content.rotowire.com/images/teamlogo/hockey/100COL.png?v=5","-250","50.7"
"Hart Trophy","7127","Macklin","Celebrini","Macklin Celebrini","SJS","https://content.rotowire.com/images/teamlogo/hockey/100SJS.png?v=5","175","25.8"
"Hart Trophy","4712","Connor","McDavid","Connor McDavid","EDM","https://content.rotowire.com/images/teamlogo/hockey/100EDM.png?v=5","575","10.5"
"Hart Trophy","3828","Nikita","Kucherov","Nikita Kucherov","TBL","https://content.rotowire.com/images/teamlogo/hockey/100TBL.png?v=5","10000","0.7"
"Hart Trophy","4386","Leon","Draisaitl","Leon Draisaitl","EDM","https://content.rotowire.com/images/teamlogo/hockey/100EDM.png?v=5","20000","0.4"
"Hart Trophy","5278","Kirill","Kaprizov","Kirill Kaprizov","MIN","https://content.rotowire.com/images/teamlogo/hockey/100MIN.png?v=5","20000","0.4"
"Hart Trophy","4478","Ilya","Sorokin","Ilya Sorokin","NYI","https://content.rotowire.com/images/teamlogo/hockey/100NYI.png?v=5","20000","0.4"
"Hart Trophy","4883","Mikko","Rantanen","Mikko Rantanen","DAL","https://content.rotowire.com/images/teamlogo/hockey/100DAL.png?v=5","30000","0.2"
"Hart Trophy","5503","Jason","Robertson","Jason Robertson","DAL","https://content.rotowire.com/images/teamlogo/hockey/100DAL.png?v=5","30000","0.2"
"Hart Trophy","4900","Sebastian","Aho","Sebastian Aho","CAR","https://content.rotowire.com/images/teamlogo/hockey/100CAR.png?v=5","50000","0.1"
